window_idx,pred_command,confidence
0,24,0.2346
1,24,0.4364
2,24,0.2225
3,8,0.3746
4,8,0.2717
5,19,0.1410
6,22,0.1913
7,8,0.2128
8,24,0.3073
9,8,0.3212
10,8,0.5106
11,24,0.1613
12,8,0.2460
13,19,0.1027
14,21,0.1068
15,8,0.1741
17,24,0.1322
18,24,0.1621
19,21,0.1498
20,24,0.1832
21,24,0.2790
22,8,0.4377
23,20,0.2737
24,24,0.1843
25,24,0.1252
26,8,0.2261
27,8,0.1543
28,9,0.1580
29,8,0.3571
30,8,0.6730
31,8,0.5942
32,24,0.1860
33,21,0.1943
34,8,0.2522
35,30,0.1921
36,24,0.4966
37,23,0.2273
38,16,0.2348
39,24,0.4932
40,24,0.3051
41,22,0.5057
42,24,0.2238
43,24,0.1559
44,22,0.2989
45,8,0.3122
46,19,0.1082
47,24,0.1819
48,24,0.3622
49,22,0.1698
51,24,0.1515
52,8,0.2873
53,8,0.5299
54,8,0.5755
55,8,0.5170
56,8,0.4861
57,8,0.6015
58,8,0.4303
59,8,0.3965
60,8,0.6667
61,8,0.5687
62,8,0.6727
63,8,0.5651
64,19,0.1955
65,8,0.1552
66,0,0.1384
67,8,0.4628
68,24,0.2642
69,8,0.1864
70,8,0.6688
71,8,0.2620
72,8,0.3045
73,8,0.6202
74,8,0.4767
75,8,0.3523
76,9,0.3380
77,8,0.2063
78,24,0.1504
79,24,0.2186
80,8,0.2832
81,24,0.2797
82,24,0.2792
83,8,0.5884
84,8,0.4458
85,8,0.5555
86,8,0.5862
87,8,0.4248
88,8,0.2622
89,24,0.3138
90,24,0.4244
91,24,0.1598
93,19,0.1308
96,24,0.1781
97,24,0.2206
98,24,0.1915
99,24,0.1977
100,24,0.1428
101,24,0.1614
102,24,0.3614
103,24,0.3066
104,24,0.2188
105,22,0.1343
106,8,0.6338
107,8,0.5437
108,8,0.3261
109,8,0.2645
110,19,0.2219
111,7,0.1462
112,7,0.1537
115,24,0.2541
116,30,0.1344
117,15,0.1880
118,18,0.2791
119,13,0.1967
120,8,0.5746
121,8,0.5134
123,7,0.1321
124,7,0.2555
125,14,0.1195
126,28,0.2581
127,5,0.2706
128,5,0.1516
129,21,0.1846
131,8,0.3126
132,12,0.3505
133,5,0.2173
135,7,0.1862
136,27,0.1460
137,28,0.2264
138,5,0.2753
139,5,0.1375
140,21,0.1501
141,24,0.3992
142,22,0.1663
143,28,0.2720
144,5,0.1307
145,5,0.2100
146,5,0.2465
147,24,0.1448
148,7,0.1275
149,8,0.3853
150,28,0.1640
151,5,0.2747
152,7,0.1178
153,21,0.1273
154,8,0.1603
155,28,0.1903
156,9,0.3080
157,5,0.1143
158,24,0.1273
159,19,0.1061
160,28,0.1498
162,5,0.1509
165,28,0.1056
166,28,0.1829
167,21,0.1217
170,28,0.1697
171,6,0.1107
172,28,0.1371
173,2,0.1158
174,12,0.2588
175,5,0.2027
176,7,0.1246
177,24,0.1328
179,19,0.1217
180,5,0.3076
181,21,0.1193
182,7,0.1372
183,18,0.1451
184,19,0.1431
185,5,0.3467
186,5,0.1165
187,16,0.1438
188,8,0.5703
189,8,0.4830
190,5,0.3765
