window_idx,pred_command,confidence,pose0,pose1,pose2,pose3,pose4,pose5,pose6,pose7,pose8,pose9,pose10,pose11,pose12,pose13,pose14,pose15,pose16,pose17,pose18,pose19
0,2,0.1619,0.2774,0.0713,0.6561,0.7750,0.0682,0.2324,1.0351,0.1978,-0.0476,0.4044,0.8751,0.4087,-0.0901,0.3808,0.7033,0.7094,-0.4288,-0.3939,1.7153,1.3755
1,0,0.2060,0.2152,-0.0479,0.6834,0.8234,0.1249,0.1698,1.0219,0.2414,-0.0678,0.3554,0.8817,0.4388,-0.1582,0.3374,0.8140,0.5670,-0.2896,-0.0664,1.1322,0.9219
2,0,0.1806,0.0911,-0.2288,0.6607,0.7345,0.2439,0.1066,0.8898,0.3804,-0.0940,0.3141,0.7796,0.5006,-0.2707,0.2444,0.7756,0.5537,-0.3784,0.2790,0.5862,0.4819
6,3,0.1803,0.0720,-0.3324,0.6792,0.6498,0.2862,0.1883,0.7010,0.4938,-0.1452,0.2580,0.7144,0.6256,-0.2987,0.2086,0.6852,0.5919,-0.4700,0.3141,0.4675,0.4518
11,0,0.2625,0.0697,-0.3899,0.6934,0.7720,0.3540,0.2005,0.4895,0.5392,-0.0822,0.1830,0.7436,0.7362,-0.3465,0.1679,0.7429,0.6562,-0.5485,0.2706,0.5978,0.5463
15,3,0.2028,0.0242,-0.3900,0.6698,0.6313,0.3370,0.0842,0.5076,0.4933,-0.1330,0.1870,0.6528,0.6501,-0.3371,0.1792,0.6413,0.5882,-0.5389,0.3264,0.4759,0.4627
18,3,0.2804,0.0293,-0.2732,0.6638,0.7753,0.2818,0.1694,0.6650,0.4669,-0.0767,0.2818,0.7470,0.6386,-0.2856,0.2124,0.7947,0.6762,-0.4204,0.2567,0.5007,0.4994
19,3,0.1656,0.0262,-0.3511,0.6612,0.7113,0.3617,0.1646,0.6094,0.4802,-0.0375,0.2389,0.7326,0.6213,-0.3184,0.1882,0.7773,0.6539,-0.5304,0.3868,0.5117,0.5113
20,1,0.2319,0.0742,-0.3355,0.6577,0.6583,0.3436,0.1797,0.5906,0.4923,-0.0690,0.2117,0.7483,0.6413,-0.3245,0.2158,0.7876,0.6823,-0.5169,0.3707,0.6259,0.6405
21,0,0.1996,0.1228,-0.1866,0.6349,0.7773,0.1165,0.1242,0.7542,0.4131,-0.1678,0.2607,0.8686,0.6028,-0.2910,0.3149,0.8625,0.6752,-0.4268,0.4658,0.6356,0.6582
